ID,Auscultation_Point_x,y_3class_str,seSQI,cpSQI,pr100_200SQI,pr200_400SQI,mean_133_267,median_133_267,max_600_733,diff_peak_sqi,svdSQI
64,AV,low_quality,0.1738897136735102,0.1277977472473819,0.6851478590632243,0.021204817438920637,0.7776263952255249,0.7305387258529663,-2.122873306274414,3.2958984375,0.28714697642337184
64,MV,low_quality,0.12058804349738465,0.03590182132214632,0.6348267784322926,0.08008796175848394,1.6780058145523071,1.581840991973877,-0.7248556613922119,1.0986328125,0.13236961319669482
64,PV,low_quality,0.13117856007878956,0.05975301479565448,0.5276549658555791,0.01607421035308432,1.4036483764648438,1.3445714712142944,-1.8758748769760132,4.0283203125,0.15681362906067
64,TV,low_quality,0.12528449072034514,0.08034714869438606,0.778879700191645,0.024343957772964903,1.8367459774017334,1.6351906061172485,-0.3570299446582794,1.0986328125,0.3101194401221218
65,AV,low_quality,0.11745978732542882,0.05275952320070266,0.622526880079115,0.03827260006460315,0.7346015572547913,0.7414109706878662,-3.9063870906829834,1.8310546875,0.038410615629921804
65,MV,uncertain,0.1893223232989173,0.27383759405675967,0.6402779624991586,0.04844874953295465,1.7583928108215332,1.7519993782043457,-1.4612544775009155,3.662109375,0.02800553343076422
65,PV,low_quality,0.1510897522060215,0.1013751869406308,0.5591035152750156,0.029671458933100827,1.8235231637954712,1.7615578174591064,-1.5723909139633179,1.0986328125,0.21998707649412153
65,TV,uncertain,0.1249528383848492,0.07433843760684314,0.8736171166546288,0.008391421010811173,1.729975700378418,1.6540151834487915,-1.593599796295166,6.591796875,0.2679657284095036
66,AV,low_quality,0.08648473932298383,0.011961684641400669,0.6166664926418312,0.02639319527293722,1.3483384847640991,1.2003884315490723,-3.140167713165283,2.5634765625,0.04721739401880857
66,MV,uncertain,0.15451325323733922,0.0656307942999581,0.6862073627353233,0.03127902054365453,1.4706882238388062,1.3666616678237915,-1.4403884410858154,0.732421875,0.15052432951409714
66,PV,uncertain,0.13647787331661582,0.008547851372049144,0.6015524365587511,0.03815745143022006,2.4687998294830322,2.403615951538086,-0.5207023024559021,6.591796875,0.06867787367174108
66,TV,low_quality,0.11162025301866595,0.011115953069649298,0.8375242354404684,0.032101026353698964,1.1693201065063477,0.5503706932067871,-1.6349424123764038,1.0986328125,0.013914252128078905
67,AV,low_quality,0.10053895765076704,0.06914037770156903,0.808940725910271,0.045455798163447296,1.2780245542526245,1.2241685390472412,-0.6613972187042236,0.732421875,0.2880999831621706
67,MV,uncertain,0.11807830042410825,0.023447022424754355,0.4016403491888067,0.1484792155721189,1.1904652118682861,1.014589548110962,-1.2544586658477783,2.9296875,0.15340025379438352
67,PV,uncertain,0.18401686615900453,0.056344188295726724,0.6587657018216033,0.017268474701022222,1.0382237434387207,0.8734759092330933,-1.0932655334472656,9.8876953125,0.32971167852928374
67,TV,uncertain,0.15313842041342918,0.07087549263071441,0.6919770931789551,0.05142046226369209,2.1645328998565674,1.910915493965149,0.3348238170146942,1.46484375,0.20748487226913365
68,AV,low_quality,0.09036417377365226,0.05648725543067271,0.873913463451995,0.03029138759485688,2.2812163829803467,2.2420897483825684,-1.03654146194458,5.126953125,0.08327209849924604
68,MV,low_quality,0.16400152596469073,0.06849677118152538,0.8989630378853283,0.030555932193406483,2.6063289642333984,2.544663667678833,-0.7191149592399597,0.732421875,0.33790504674789
68,PV,low_quality,0.11794364075420807,0.02151209776503468,0.6134003559249963,0.04044151621912384,1.7638605833053589,1.7388919591903687,-1.9759149551391602,1.46484375,0.21993788023510188
